497,建築電気情報設備
498,建築材料実験
499,日本語表現法
500,基礎数学
501,基礎理科
502,調査方法論
503,スポーツ健康科学
504,生涯スポーツ論
505,基礎経営学
506,スポーツ栄養学
507,基礎機能解剖論
508,基礎スポーツ医学
509,基礎生理学
510,マーケティング論
511,学習科学論
512,スポーツ史
513,トレーニング科学
514,スポーツマネジメント論
515,スポーツ心理学
516,コーチング論
517,衛生学
518,スポーツ統計学
519,健康産業論
520,リーダーシップ論
521,スポーツサイバネティクス論
522,スポーツ医工学
523,エクササイズプログラミング論
524,スポーツバイオメカニクス論
525,スポーツ生理学
526,スポーツ生化学
527,スポーツ科学特殊講義
528,生活習慣病論
529,運動処方論
530,健康増進科学
531,運動生理学
532,健康運動指導論
533,健康施策論
534,健康運動科学特殊講義
535,スポーツ栄養教育学
536,スポーツカウンセリング論
537,スポーツ指導論
538,スポーツ教育学
539,アダプテッドスポーツ論
540,学校保健学
541,スポーツ教育学特殊講義
542,スポーツビジネス論
543,スポーツマーケティング論
544,スポーツメディア論
545,スポーツ政策論
546,組織マネジメント論
547,サービスマネジメント論
548,スポーツマネジメント特殊講義
549,エコノメトリックス
550,行動科学
551,アカウンティング
552,市場調査法
553,意思決定論
554,食と環境
555,経営組織論
556,経営戦略論
557,食の安全
558,食と現代社会
559,ファイナンス
560,資源循環論
561,農業経済学
562,人的資源管理論
563,組織行動論
564,管理会計論
565,食の生産管理
566,フードデザインマネジメント論
567,アグリビジネス
568,流通論
569,消費者行動分析
570,サービスマーケティング論
571,食品開発
572,食品安全管理
573,パブリックヘルス
574,美食ビジネス
575,食と嗜好飲料
576,食科学のための資史料論
577,食科学のためのフィールドワーク論
578,食の地理学
579,食の文化人類学
580,食の歴史学
581,食のエリアスタディ
582,食と民族
583,食と郷土
584,食の思想と文芸
585,食の世界史
586,食の日本史
587,食科学のための生物学
588,食科学のための化学
589,おいしさの調理学
590,栄養学
591,食品学
592,食と心理学
593,食と健康
594,応用栄養学
595,官能評価学
596,食事機能科学
597,食認知科学
598,食行動科学
599,総合講義
600,数学
601,数学演習
602,物理
603,化学
604,生物化学
605,情報理論
606,情報基礎数学
607,確率・統計
608,多変量解析
609,離散数学
610,数値解析
611,情報理工基礎演習
612,情報倫理と情報技術
613,計算機科学入門
614,論理回路
615,ソフトウェア工学
616,コンピュータネットワーク
617,デジタル信号処理
618,計算機構成論
619,データベース
620,オペレーティングシステム
621,ネットワークセキュリティ
622,コンピュータグラフィックス
623,人工知能
624,プログラミング演習
625,システムアーキテクト演習
626,プログラミング言語
627,電気電子回路
628,システムアーキテクト実験
629,システムアーキテクトプログラミング演習
630,データ構造とアルゴリズム
631,ユーザビリティ工学
632,計算機アーキテクチャ
633,オブジェクト指向論
634,メディア処理実験
635,データモデリング
636,IoT
637,計算論
638,システムソフトウェア構成論
639,ソフトウェア仕様化技法
640,分散システム
641,自然言語処理
642,ビッグデータ解析
643,ソフトウェア開発管理
644,暗号理論
645,ヒューマンインタフェース
646,システムセキュリティ
647,言語処理系
648,セキュリティ・ネットワーク概論
649,セキュリティ・ネットワーク学実験
650,ネットワーク開発実験
651,セキュアシステム開発実験
652,ワイヤレス通信システム
653,情報通信ネットワーク
654,先端社会デザイン概論
655,先端社会デザイン創成
656,実践プログラミング演習
657,テキストマイニング
658,Web情報技術概論
659,音声音響情報処理
660,実世界情報処理
661,Webアプリケーション
662,情報アクセス論
663,データマイニング基礎
664,認知工学
665,ユビキタスコンピューティング
666,機械学習
667,Web コンピューティング
668,社会デザイン論
669,知識工学
670,センシング工学
671,実世界情報演習
672,実世界情報実験
673,機械工学概論
674,ロボティクス
675,インタラクションデザイン論
676,実世界情報処理
677,生体計測工学
678,システム制御工学
679,心理物理学
680,コンピュータグラフィックス応用
681,音声音響情報処理
682,パターン認識
683,メディア実験
684,メディアプロジェクト演習
685,画像情報処理
686,音声音響情報処理
687,情報アクセス論
688,最適化数学
689,色彩工学
690,コンピュータグラフィックス応用
691,メディア基礎数学
692,メディア計算機演習
693,知能情報基礎演習
694,知能情報処理演習
695,知能情報学実験
696,生体生理工学
697,知能情報システム創成
698,最適化数学
699,脳機能情報処理
700,物理学
701,生物科学
702,地球科学
703,情報処理
704,生命科学概論
705,物理化学
706,分析・無機化学
707,有機化学
708,生化学
709,微生物学
710,化学系物理学
711,生物物理化学
712,統計熱力学
713,分析化学
714,無機化学
715,固体化学
716,機器分析化学
717,有機分子解析法
718,高分子化学
719,分子生物学
720,基礎環境学
721,分子細胞生物学
722,酵素学
723,バイオインフォマティクス
724,遺伝子工学
725,放射線生物学
726,分子分光化学
727,エネルギー変換化学
728,生物無機化学
729,有機工業化学
730,生物有機化学
731,生体高分子解析法
732,生体分子機能・構造化学
733,タンパク質工学
734,反応工学
735,固体物性化学
736,エネルギー創成
737,無機材料化学
738,有機材料化学
739,生体分子工学
740,応用生物化学
741,応用化学基礎演習
742,分析化学実験
743,有機化学実験
744,物理化学実験
745,物理学実験
746,生命科学セミナー
747,無機材料化学実験
748,有機・高分子材料化学実験
749,生物化学実験
750,分子生物学実験
751,地学実験
752,人体の構造と機能
753,植物生理学
754,タンパク質・核酸の解析と機能
755,地球環境学
756,微生物生理学
757,食料生産科学
758,生物環境化学
759,分子細胞生物学
760,生物統計学
761,酵素工学
762,応用微生物学
763,構造生物学
764,代謝工学
765,環境微生物学
766,生物資源学
767,植物細胞工学
768,分析化学実験
769,生物工学基礎演習
770,有機化学実験
771,基礎物理化学実験
772,分子生物学実験
773,微生物学実験
774,顕微鏡観察基礎実験
775,物理学実験
776,生化学実験
777,地学実験
778,基礎物理化学
779,基礎有機化学
780,基礎生命物理学
781,確率・統計
782,基礎情報科学
783,生命物理化学
784,分析化学
785,生命物理化学
786,数理生物学
787,バイオアルゴリズム
788,進化情報学
789,生体機能シミュレーション
790,機能ゲノミクス
791,プロテオミクス
792,システムバイオロジー
793,統計熱力学
794,量子化学
795,計算機化学
796,構造生物学
797,ゲノム科学
798,代謝工学
799,公衆衛生学
800,薬理学
801,先端医科学
802,医科生物工学
803,医療社会論
804,生命倫理
805,医療システム論
806,幹細胞・再生医学
807,機能ゲノミクス
808,プロテオミクス
809,生化学
810,分子生物学
811,免疫学
812,病態学
813,薬物治療学
814,薬剤学
815,薬物動態学
816,薬事法規・薬事制度
817,生薬学
818,天然物化学
819,その他
